,title,desc,url
0,2001 год,"2001 (две ты́сячи пе́рвый) год  по григорианскому календарю — невисокосный год, начинающийся в понедельник. Это 2001 год нашей эры, 1 год 1-го десятилетия XXI века 3-го тысячелетия, 2 год 2000-х годов. Он закончился 22 года назад.

Объявлен ООН Международным годом диалога между цивилизациями под эгидой ООН (резолюция ООН 53/22), добровольцев (резолюция ООН 52/17), мобилизации усилий для борьбы против расизма, расовой дискриминации, ксенофобии и связанной с ними нетерпимости (резолюция ООН 53/132).",https://ru.wikipedia.org/wiki/2001_%D0%B3%D0%BE%D0%B4
1,2003 год,"2003 (две ты́сячи тре́тий) год  по григорианскому календарю — невисокосный год, начинающийся в среду. Это 2003 год нашей эры, 3 год 1-го десятилетия XXI века 3-го тысячелетия, 4 год 2000-х годов. Он закончился 20 лет назад.

Международный год пресной воды
Год Казахстана в Российской Федерации
Год Российской Федерации на Украине
Год инвалидов в Российской Федерации
Год киргизской государственности
Год Героя Туркменистана Гурбансолтан-едже — матери первого президента Туркмении Сапармурата Ниязова",https://ru.wikipedia.org/wiki/2003_%D0%B3%D0%BE%D0%B4
2,2005 год,"2005 (две ты́сячи пя́тый) год  по григорианскому календарю — невисокосный год, начинающийся в субботу. Это 2005 год нашей эры, 5 год 1-го десятилетия XXI века 3-го тысячелетия, 6 год 2000-х годов. Он закончился 18 лет назад.

Международный год физики (резолюция ООН № 58/293).
Международный год спорта и физического воспитания как средства содействия воспитанию, здоровью, развитию и миру (резолюция ООН № 58/5).
Международный год микрокредитования (резолюция ООН № 53/197).
ЮНЕСКО объявлен годом М.А. Шолохова.
Год Азербайджанской Республики в Российской Федерации.
Год Российской Федерации в Республике Армения.",https://ru.wikipedia.org/wiki/2005_%D0%B3%D0%BE%D0%B4
3,2008 год,"2008 (две ты́сячи восьмо́й) год  по григорианскому календарю — високосный год, начинающийся во вторник. Это 2008 год нашей эры, 8 год 1-го десятилетия XXI века 3-го тысячелетия, 9 год 2000-х годов. Он закончился 15 лет назад.

Международные годы ООН:
Международный год планеты Земля.
Международный год картофеля.
Международный год языков.
Международный год санитарии.
Международный год дельфина (2007—2008)
Международная кампания «год лягушки».
Европейский год межкультурного диалога
2008 год в странах:
Год семьи в России.
Год Российской Федерации в Республике Индии.
Год Российской Федерации в Республике Болгарии.
Союзом охраны птиц России объявлен годом снегиря.
Год здоровья в Белоруссии.
Год ремёсел в Могилёвской области.
Год математики в Германии.",https://ru.wikipedia.org/wiki/2008_%D0%B3%D0%BE%D0%B4
4,2009 год,"2009 (две ты́сячи девя́тый) год  по григорианскому календарю — невисокосный год, начинающийся в четверг. Это 2009 год нашей эры, 9 год 1-го десятилетия XXI века 3-го тысячелетия, 10 год 2000-х годов. Он закончился 14 лет назад.

2009 год вошёл в пятёрку самых тёплых лет за всю историю метеонаблюдений, указывает Всемирная метеорологическая организация (ВМО).
В связи с 400-летием астрономических открытий Галилео Галилея объявлен ЮНЕСКО Международным годом астрономии.
Год Сталина в Китае.
Год тысячелетия Литвы в Литве
Год Болгарии в России.
Год молодёжи в России.
Год родной земли в Белоруссии.
Год Республике Индии в России.
Год Франции в России.
Год русского языка в Китае.Международные годы ООН:
Международный год астрономии (резолюция № 62/200).
Международный год обучения в области прав человека (начало — 10 декабря 2023 года) (резолюция № 62/171).
Международный год примирения (резолюция № 61/17).
Международный год природных волокон (резолюция № 61/189).",https://ru.wikipedia.org/wiki/2009_%D0%B3%D0%BE%D0%B4
5,2010 год,"2010 (две ты́сячи деся́тый) год  по григорианскому календарю — невисокосный год, начинающийся в пятницу. Это 2010 год нашей эры, 10 год 1-го десятилетия XXI века 3-го тысячелетия, 1 год 2010-х годов. Он закончился 13 лет назад.",https://ru.wikipedia.org/wiki/2010_%D0%B3%D0%BE%D0%B4
6,2015 год,"2015 (две ты́сячи пятна́дцатый) год  по григорианскому календарю — невисокосный год, начинающийся в четверг. Это 2015 год нашей эры, 5 год 2-го десятилетия XXI века 3-го тысячелетия, 6 год 2010-х годов. Он закончился 8 лет назад.

Год культуры России в Аргентине и Аргентины в России.
Год литературы в России.
Год молодёжи в Беларуси.
Международный год света и световых технологий (резолюция Генеральной Ассамблеи ООН A/RES/68/221).
Международный год почв (резолюция Генеральной Ассамблеи ООН A/RES/68/232).",https://ru.wikipedia.org/wiki/2015_%D0%B3%D0%BE%D0%B4
7,2016 год,"2016 (две ты́сячи шестна́дцатый) год  по григорианскому календарю — високосный год, начинающийся в пятницу. Это 2016 год нашей эры, 6 год 2-го десятилетия XXI века 3-го тысячелетия, 7 год 2010-х годов. Он закончился 7 лет назад.

2016 год стал самым тёплым за всю историю метеонаблюдений в мире, перекрыв предыдущий рекорд 2015 года.
Международный год зернобобовых (резолюция Генеральной Ассамблеи ООН A/RES/68/231).
Год российского кино в России.
Год культуры в Белоруссии.
Год образования в странах СНГ.
Год Греции в России, год России в Греции.
Год российских средств массовой информации в Китае.
Год мультикультурализма в Азербайджане.",https://ru.wikipedia.org/wiki/2016_%D0%B3%D0%BE%D0%B4
8,Brick Like Me,"«Brick Like Me» (рус. «Кирпич, как я») — двадцатый эпизод двадцать пятого сезона мультсериала «Симпсоны». Вышел в эфир 4 мая 2014 года в США на телеканале «FOX»",https://ru.wikipedia.org/wiki/Brick_Like_Me
9,DC Comics,"DC Comics (основано в 1934 году как National Allied Publications) — одно из крупнейших и наиболее популярных издательств комиксов. Издательство было куплено компанией Warner Bros. Entertainment в 1969 году.
DC Comics издают продукцию, характеризующуюся наличием большого количества широко известных персонажей, в том числе Супермен, Бэтмен, Чудо-женщина, Зелёный Фонарь, Флэш, Аквамен, Шазам, Киборг, Марсианский Охотник, Зелёная Стрела, Человек-ястреб, Чёрный Адам, Атом, Чёрная Канарейка, Супергёрл, Женщина-кошка и другие. Во вселенной DC также имеются команды, такие, как Лига Справедливости, Юные Титаны, Хранители, Отряд самоубийц, а среди самых известных злодеев — Джокер, Харли Квинн, Ядовитый Плющ и другие.
Аббревиатура DC перешла от популярнейшей серии издательства Detective Comics и вскоре стала официальным названием компании. Штаб-квартира DC Comics находилась по адресу 1700 Broadway (Нью-Йорк); в 2015 году штаб-квартира была перенесена в Бербанк (Калифорния).
Также по мотивам вселенной DC есть игра DC Universe Online, где игроки могут создать своего собственного супергероя, пользуясь набором предложенных характеристик.",https://ru.wikipedia.org/wiki/DC_Comics
